aa_000,ab_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bn_000,bo_000,bp_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cr_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000
60,0.0,20,12,0,0,0.0,0.0,0.0,2682.0,4736.0,3862.0,1846.0,0.0,0.0,0.0,3976,0,0,0,1520,2374,11516,9480,111258,470,0,0,0,0,58,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13124.0,2.0,1956.0,434.0,76.0,174.0,190.0,6198.0,1148.0,2948.0,2.0,0.0,8762.0,2566.0,480.0,380.0,196.0,516.0,86.0,66.0,74.0,0.0,124340,4,6,4,0,3976,318,107662,3458,210480.0,187120.0,159380.0,180680.0,141800.0,157420.0,110980,59.53,124340,124340,184970,54,686,12246,123880,13196,1209600,598,0,6,0,5913.6,0.0,5851.2,6,30,0.0,2.0,5512.0,4674.0,1388.0,1508.0,38.0,4.0,0.0,0.0,8,12,124340,0.0,1550.0,14.0,36.0,26.0,920.0,430.0,7650.0,2294.0,206.0,0.0,22,42,5336,1276,0,0,0,0,6598,70,112,0,0,0,0,0,0,0,0,340,0,0,1100,574,232,66,780,882,0,4,0,0,0,465.5,90,7502.0,3156.0,1098.0,138.0,412.0,654.0,78.0,88.0,0.0,0.0,0,0
82,0.0,68,40,0,0,0.0,0.0,0.0,0.0,748.0,12594.0,3636.0,0.0,0.0,0.0,5244,0,60,0,0,0,23174,18166,23686,1270,0,0,0,0,12,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,692.0,16286.0,0.0,280.0,44.0,50.0,1274.0,866.0,3362.0,11102.0,0.0,0.0,0.0,12564.0,1756.0,638.0,276.0,172.0,132.0,812.0,308.0,192.0,128.0,46894,4,2,38,0,5244,360,20520,3134,210480.0,187120.0,159380.0,180680.0,141800.0,157420.0,23320,81.89,46894,46894,48324,68,0,4486,46480,17050,1209600,726,2,4,0,7224.96,0.0,7768.32,0,42,0.0,0.0,4.0,7064.0,6200.0,2452.0,1246.0,12.0,0.0,0.0,14,54,46894,0.0,2202.0,28.0,114.0,350.0,700.0,1708.0,9622.0,2174.0,80.0,0.0,80,206,7802,1466,0,0,0,0,7918,78,40,0,0,0,0,0,0,0,0,352,0,0,3996,584,200,62,37580,3756,6368,36,0,0,0,2.86,102,10040.0,3310.0,1068.0,276.0,1620.0,116.0,86.0,462.0,0.0,0.0,0,0
66002,2.0,212,112,0,0,0.0,0.0,0.0,199486.0,1358536.0,1952422.0,452706.0,25130.0,520.0,0.0,1891670,0,0,0,77898,110548,3605894,3291610,959756,286536,0,0,0,0,106,340,0.0,0.0,0.0,0.0,0.0,24286.0,681260.0,2808472.0,474782.0,0.0,22984.0,894.0,1162.0,1304.0,1856.0,388700.0,3424812.0,123828.0,23260.0,0.0,1662580.0,667960.0,387998.0,226078.0,161558.0,148288.0,154908.0,220820.0,147744.0,210866.0,4644422,958,7848,3624,0,1891670,47066,692800,265492,336240.0,194360.0,245240.0,180680.0,141800.0,157420.0,175480,66002.89,4644422,4644422,4608738,22706,2272,95510,1006260,3991552,1209600,126310,0,104,0,3594885.12,0.0,374649.6,148,720,0.0,5154.0,174956.0,622312.0,1002504.0,793938.0,541734.0,345896.0,300806.0,201500.0,52,92,4644422,0.0,24818.0,964.0,162660.0,215004.0,217930.0,3038612.0,322718.0,6080.0,14.0,0.0,226,572,3593728,1911060,0,284,0,0,3613906,4218,692,0,0,0,0,0,0,0,0,25278,9438,2504,10262714,1278664,109700,19072,9520,4902,4434614,70900,0,0,26002880,2057.84,2158,396312.0,538136.0,495076.0,380368.0,440134.0,269556.0,1315022.0,153680.0,516.0,0.0,0,0
59816,0.0,1010,936,0,0,0.0,0.0,0.0,0.0,123922.0,984314.0,1680050.0,1135268.0,92606.0,14038.0,1772828,0,0,0,1116,2372,3546760,3053176,652616,423374,0,0,7274,0,1622,432,0.0,0.0,0.0,0.0,0.0,6388.0,1091104.0,2930694.0,2012.0,0.0,3526.0,904.0,1426.0,223226.0,2663348.0,1137664.0,104.0,0.0,0.0,0.0,1283806.0,928212.0,345132.0,265930.0,194770.0,158262.0,219942.0,620264.0,13880.0,0.0,4201350,98,238,880,16,1772828,51468,331744,316130,176000.0,208420.0,159380.0,180680.0,141800.0,157420.0,100120,59816.46,4201350,4201350,4203050,29967,26214,51894,562680,4030198,1209600,114684,0,144,0,3387773.76,38633.28,599624.64,0,0,0.0,0.0,14308.0,475410.0,1109740.0,1528024.0,837114.0,58942.0,6220.0,440.0,1278,1292,4201350,0.0,6846.0,810.0,70090.0,345884.0,191284.0,2454600.0,926846.0,33558.0,280.0,0.0,1516,1398,2050280,64066,0,674,0,46,3413978,2924,414,0,0,60,38710,0,0,0,0,27740,33354,6330,0,0,133542,21290,2718360,435370,0,0,0,0,1179900,1541.32,1678,659550.0,691580.0,540820.0,243270.0,483302.0,485332.0,431376.0,210074.0,281662.0,3232.0,0,0
1814,0.0,156,140,0,0,0.0,0.0,0.0,0.0,72.0,17926.0,82834.0,3114.0,0.0,0.0,48978,0,0,0,0,0,97146,89920,12932,5092,0,0,0,0,102,50,0.0,0.0,0.0,0.0,0.0,11544.0,73570.0,3662.0,15170.0,0.0,126.0,34.0,60.0,58.0,10768.0,92898.0,2.0,0.0,0.0,0.0,53558.0,34620.0,9824.0,4552.0,764.0,294.0,192.0,142.0,0.0,0.0,110094,4,4,986,0,48978,1100,7932,4966,210480.0,187120.0,159380.0,180680.0,141800.0,157420.0,12700,1813.74,110094,110094,113274,364,330,10874,109880,103946,1209600,1832,0,8,0,94319.04,0.0,9556.8,0,0,0.0,0.0,0.0,6560.0,77394.0,17810.0,1924.0,230.0,28.0,0.0,2,10,110094,0.0,144.0,14.0,86.0,5532.0,1792.0,30864.0,63436.0,1986.0,92.0,0.0,230,178,93820,57312,44,4,0,0,95372,78,36,0,0,0,0,0,0,0,0,538,360,142,0,0,1822,344,2140,394,13664,110,0,0,813740,113.86,52,10216.0,9958.0,7646.0,4144.0,18466.0,49782.0,3176.0,482.0,76.0,0.0,0,0
174,0.0,26,24,0,0,0.0,0.0,0.0,0.0,4736.0,311608.0,452706.0,25130.0,4868.0,0.0,7396,0,134,0,0,0,22666,19998,14550,788,0,0,0,0,40,124,0.0,0.0,0.0,0.0,0.0,6388.0,114864.0,499636.0,67050.0,0.0,1942.0,904.0,1394.0,1874.0,10768.0,388700.0,1636.0,0.0,0.0,0.0,568114.0,435566.0,168892.0,132254.0,118744.0,135638.0,154908.0,12210.0,192.0,0.0,37258,2,10,26,0,7396,350,12058,2464,210480.0,187120.0,159380.0,180680.0,141800.0,157420.0,14280,174.02,37258,37258,38556,53,170,3584,36960,17146,1209600,934,0,10,0,12144.96,0.0,4092.48,0,14,0.0,0.0,5512.0,39456.0,501328.0,793938.0,541734.0,34100.0,4280.0,330.0,2,12,37258,0.0,2942.0,416.0,66226.0,150982.0,77248.0,1168204.0,322718.0,9028.0,92.0,0.0,22,174,11400,3682,0,0,0,0,12438,52,74,0,0,0,0,0,0,0,0,230,0,0,6716,2274,610,126,920,242,8862,20,0,0,0,131.7,56,296980.0,538136.0,357006.0,150056.0,264776.0,239282.0,169096.0,74750.0,516.0,0.0,0,0
40202,0.0,640,606,0,0,0.0,0.0,0.0,0.0,156074.0,677848.0,1122070.0,906760.0,99294.0,19762.0,1291194,0,0,0,3856,8726,2622432,2281520,436178,312658,0,0,12922,0,622,182,0.0,0.0,0.0,0.0,0.0,64538.0,907464.0,1942756.0,67050.0,0.0,1942.0,2602.0,3064.0,87822.0,2325128.0,559614.0,1636.0,0.0,0.0,0.0,839110.0,625118.0,262990.0,220176.0,206744.0,190374.0,216260.0,399262.0,21774.0,0.0,3062802,558,2806,1584,56,1291194,33824,220020,214184,163100.0,179880.0,159380.0,180680.0,141800.0,157420.0,89240,40201.15,3062802,3062802,3072230,24471,1976,61906,639740,2981808,1209600,98790,0,84,0,2620750.08,0.0,358857.6,0,0,0.0,0.0,11612.0,252700.0,775890.0,1112320.0,776180.0,48496.0,4280.0,330.0,0,4,3062802,0.0,2942.0,416.0,90180.0,187776.0,138974.0,2220712.0,331728.0,9028.0,52.0,0.0,838,424,2555444,738238,0,872,0,52,2656774,1590,92,0,0,0,0,0,0,0,0,17694,26352,4830,0,0,77528,12700,506020,76410,2305784,2646,0,0,1195500,791.64,802,376266.0,761658.0,526218.0,239734.0,439556.0,374248.0,169096.0,53658.0,41054.0,320.0,0,0
120278,0.0,2130706432,256,0,0,0.0,0.0,0.0,0.0,208.0,61582.0,3858106.0,3553512.0,174722.0,13728.0,3242508,0,0,0,0,0,6749710,5825696,1123618,814174,0,0,0,0,374,90,0.0,0.0,0.0,0.0,0.0,3722.0,114864.0,4107068.0,3436204.0,0.0,2968.0,1190.0,1394.0,1874.0,33168.0,7529872.0,91392.0,0.0,0.0,0.0,1926556.0,2400748.0,1042108.0,701454.0,527344.0,447384.0,604054.0,12210.0,0.0,0.0,7874216,2726,3848,378,8,3242508,96516,501852,619894,210360.0,159340.0,148640.0,180680.0,141800.0,157420.0,114960,120277.48,7874216,7874216,7880232,48233,13830,54528,605140,7661858,1209600,318234,2,88,0,6850344.96,0.0,807766.08,0,1618,0.0,0.0,0.0,15798.0,954526.0,4439132.0,2173196.0,67492.0,11138.0,576.0,4,12,7874216,0.0,8270.0,1012.0,351672.0,387756.0,300810.0,4551122.0,2037974.0,23098.0,144.0,0.0,416,270,6770354,690124,0,2426,0,22,6890130,4936,1114,0,0,0,0,0,0,0,0,50196,49662,22016,0,0,226956,53298,22559560,2430612,0,0,0,0,80277450,1938.02,2248,836724.0,1682254.0,1006722.0,459658.0,876356.0,689532.0,568540.0,500624.0,1006628.0,34820.0,0,0
14592,0.0,2130706438,162,0,0,0.0,0.0,0.0,0.0,90276.0,773018.0,236244.0,15860.0,4868.0,0.0,464694,0,34,0,1882,3066,984644,789062,258990,123842,0,0,0,0,104,208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131786.0,988480.0,0.0,1770.0,998.0,1658.0,2204.0,2640.0,12470.0,1098526.0,0.0,0.0,0.0,489944.0,348710.0,137166.0,65938.0,26522.0,17652.0,13636.0,10988.0,5414.0,4296.0,1246288,290,36,244,0,464694,13896,68604,189242,242820.0,187120.0,159380.0,180680.0,141800.0,157420.0,9640,14592.14,1246288,1246288,1191566,4285,328,118416,29200,1122028,1209600,38282,2,126,0,844361.28,0.0,274802.88,2,432,0.0,0.0,35156.0,540424.0,443910.0,80488.0,16124.0,3396.0,760.0,8.0,6,10,1246288,0.0,4870.0,654.0,66226.0,150982.0,55302.0,536306.0,291084.0,14800.0,42.0,0.0,116,306,852904,303790,0,14,0,0,854044,2352,282,0,0,0,0,0,0,0,0,9958,60,6,814148,152760,19198,4944,4634560,463662,1156514,146,0,0,0,14.8,1400,291606.0,190418.0,105024.0,57398.0,49152.0,38256.0,243268.0,145144.0,0.0,0.0,0,0
28338,0.0,2130706432,238,0,0,0.0,0.0,0.0,0.0,582.0,311608.0,1198378.0,629156.0,51672.0,3858.0,1067710,0,0,0,0,0,1976636,1733700,371848,205258,0,0,14410,0,554,100,0.0,0.0,0.0,0.0,0.0,19226.0,1169890.0,499636.0,506502.0,0.0,1354.0,990.0,2554.0,9202.0,137182.0,2043544.0,428.0,0.0,0.0,0.0,568114.0,435566.0,168892.0,132254.0,118744.0,135638.0,313046.0,323000.0,0.0,0.0,2348762,80,116,388,36,1067710,26524,202512,168768,210600.0,187120.0,159380.0,180680.0,141800.0,157420.0,158040,28337.83,2348762,2348762,2319360,19566,1272,111156,1135300,2195254,1209600,80176,2,42,0,1908778.56,0.0,284365.44,4,280,0.0,0.0,0.0,39456.0,501328.0,1054148.0,561102.0,34100.0,4544.0,576.0,4,10,2348762,0.0,2586.0,348.0,44090.0,141000.0,77248.0,1168204.0,741922.0,19618.0,238.0,0.0,352,330,1889126,66304,0,107980,0,12,1931866,1346,276,0,0,0,0,0,0,0,0,17664,23964,10120,0,0,29992,11814,5280160,549684,143196,7392,0,0,732820,708.7,738,296980.0,638814.0,357006.0,150056.0,264776.0,239282.0,140548.0,74750.0,32958.0,84.0,0,0
